,country,weapon,date,text
368,Norway , AIM-9X Block II Sidewinder Missiles," May 13, 2015 ","['WASHINGTON, May 13, 2015 – The State Department has made a determination approving a possible Foreign Military Sale to Norway for AIM 9X Block II Sidewinder Missiles…']"
369,Japan , UGM-84L Harpoon Block II Missiles," May 13, 2015 ","['WASHINGTON, May 13, 2015 – The State Department has made a determination approving a possible Foreign Military Sale to Japan for UGM-84L Harpoon Block II Missiles and…']"
370,Singapore , F-16 Block 52 Upgrade Program," May 7, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to Singapore for the F-16 Block 52 Upgrade Program…
371,Jordan , UH-60M VIP Blackhawk Helicopter," May 5, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to Jordan for a UH-60M VIP Blackhawk helicopter and…
372,Japan , V-22B Block C Osprey Aircraft," May 5, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to Japan for V-22B Block C Osprey aircraft and…
373,Indonesia , AIM-9X-2 Sidewinder Missiles," May 5, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to Indonesia for AIM-9X-2 Sidewinder Missiles and…
374,Malaysia ,AIM-120C7 AMRAAM Missiles," May 5, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to Malaysia for AIM-120C7 AMRAAM Missiles and…
375,Iraq , Ammunition," May 5, 2015 ","The State Department has made a determination approving a possible Foreign Military Sale to Iraq for Ammunition and associated equipment,…"
376,Australia , F/A-18E/F Super Hornet and EA-18G Growler Aircraft Sustainment," Apr 28, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to Australia for F/A-18E/F Super Hornet and EA-18G…
377,Australia , Hobart Class Destroyer Sustainment," Apr 28, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to Australia for Hobart Class Destroyer…
378,India , Follow-on Support of C-130J Super Hercules Aircraft," Apr 24, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to India for Follow-on Support of C-130J…
379,Egypt , AGM-114K/R3 Hellfire II Missiles," Apr 8, 2015 ","['WASHINGTON, Apr 8, 2015 – The State Department has made a determination approving a possible Foreign Military Sale to Egypt for AGM-114K/R3 Hellfire II Missiles and…']"
380,Pakistan , AH-1Z Viper Attack Helicopters and AGM-114R Hellfire II Missiles," Apr 6, 2015 ","['WASHINGTON, Apr 6, 2015 – The State Department has made a determination approving a possible Foreign Military Sale to Pakistan for AH-1Z Viper Attack Helicopters and…']"
381,Republic of Korea , AGM-114R1 Hellfire Missiles," Apr 1, 2015 ","['WASHINGTON, Apr 1, 2015 – The State Department has made a determination approving a possible Foreign Military Sale to the Republic of Korea for AGM-114R1 Hellfire…']"
382,Netherlands , CH-47F Aircraft," Mar 23, 2015 ","['WASHINGTON, Mar 23, 2015 – The State Department has made a determination approving a possible Foreign Military Sale to the Netherlands for CH-47F Aircraft and…']"
383,Jordan , 35 Meter Coastal Patrol Boats," Mar 17, 2015 ","['WASHINGTON, Mar 17, 2015 – The State Department has made a determination approving a possible Foreign Military Sale to Jordan for 35 Meter Coastal Patrol Boats and…']"
384,Mexico , UH-60M Black Hawk Helicopters," Mar 17, 2015 ","['WASHINGTON, Mar 17, 2015 – The State Department has made a determination approving a possible Foreign Military Sale to Mexico for UH-60M Black Hawk Helicopters and…']"
385,Jordan , M31 Unitary Guided Multiple Launch Rocket Systems (GMLRS) Rocket Pods," Mar 5, 2015 ","['WASHINGTON, Mar 5, 2015 – The State Department has made a determination approving a possible Foreign Military Sale to Jordan for M31 Unitary Guided Multiple…']"
386,Slovakia , UH-60M Black Hawk Helicopters," Feb 19, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to Slovakia for UH-60M Black Hawk Helicopters and…
387,The Netherlands , MQ-9 Reapers," Feb 6, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to the Netherlands for MQ-9 Reapers and associated…
388,Australia , M88A2 Hercules Heavy Recovery Vehicles," Jan 26, 2015 ",The State Department has made a determination approving a possible Foreign Military Sale to Australia for M88A2 Hercules Heavy Recovery…
389,Iraq , M1151A1 Up-Armored High Mobility Multi-Purpose Wheeled Vehicles," Dec 19, 2014 ",The State Department has made a determination approving a possible Foreign Military Sale to Iraq for M1151A1 Up-Armored High Mobility Multi…
390,Iraq , M1A1 Abrams Tanks," Dec 19, 2014 ",The State Department has made a determination approving a possible Foreign Military Sale to Iraq for M1A1 Abrams tanks and associated…
391,Japan , AIM-120C7 AMRAAM Missiles," Dec 12, 2014 ",The State Department has made a determination approving a possible Foreign Military Sale to Japan for AIM-120C7 AMRAAM missiles and…
392,Greece , CH-47D Chinook Helicopters ," Dec 11, 2014 ",The State Department has made a determination approving a possible Foreign Military Sale to Greece for CH-47D Chinook helicopters and…
393,Iraq , C-130E/J Sustainment," Nov 26, 2014 ","['WASHINGTON, Nov 26, 2014 – The State Department has made a determination approving a possible Foreign Military Sale to Iraq for C-130E/J sustainment and associated…']"
394,Greece , F-16 Sustainment," Nov 18, 2014 ",The State Department has made a determination approving a possible Foreign Military Sale to Greece for F-16 sustainment and associated…
395,Australia , C-17 Globemaster III Aircraft," Nov 12, 2014 ",The State Department has made a determination approving a possible Foreign Military Sale to Australia for C-17 Globemaster III aircraft and…
396,Iraq , Advanced Precision Kill Weapon System (APKWS)," Nov 12, 2014 ",The State Department has made a determination approving a possible Foreign Military Sale to Iraq for Advanced Precision Kill Weapon Systems…
397,Iraq , Foreign Military Sales Order II (FMSO II)," Nov 12, 2014 ",The State Department has made a determination approving a possible Foreign Military Sale to Iraq for a Foreign Military Sales Order II (…
398,Republic of Korea , Patriot Advanced Capability (PAC-3) Missiles," Nov 5, 2014 ",The State Department has made a determination approving a possible Foreign Military Sale to the Republic of Korea for Patriot Advanced…
399,Pakistan , GRC43M Cutters," Oct 30, 2014 ","['WASHINGTON, Oct 30, 2014 – The State Department has made a determination approving a possible Foreign Military Sale to Pakistan for GRC43M Cutters and…']"
400,Iraq , M1A1 Abrams Tank Ammunition," Oct 20, 2014 ",The State Department has made a determination approving a possible Foreign Military Sale to Iraq for M1A1 Abrams tank ammunition and…
401,Australia , Close-In Weapon System Block 1B Baseline 2 Upgrade," Oct 14, 2014 ",The State Department has made a determination approving a possible Foreign Military Sale to Australia for Close-In Weapon System Block 1B…
402,Greece , P-3B Aircraft Overhaul and Upgrade," Oct 7, 2014 ",The State Department has made a determination approving a possible Foreign Military Sale to Greece for P-3B aircraft overhaul and upgrade as…
403,Estonia , Javelin Missiles," Oct 7, 2014 ",The State Department has made a determination approving a possible Foreign Military Sale to Estonia for Javelin missiles and associated…
404,Brazil , S-70B Helicopter Follow-On Support," Oct 7, 2014 ",The State Department has made a determination approving a possible Foreign Military Sale to Brazil for S-70B helicopter follow-on support…
405,Brunei , C-130J Aircraft," Oct 7, 2014 ",The State Department has made a determination approving a possible Foreign Military Sale to Brunei for C-130J aircraft and associated…
406,Kingdom of Saudi Arabia (KSA) , Patriot Air Defense System with PAC-3 Enhancement," Oct 1, 2014 ",The State Department has made a determination approving a possible Foreign Military Sale to the Kingdom of Saudi Arabia for a Patriot Air…
407,UAE , High Mobility Artillery Rocket Systems (HIMARS) Launchers," Sep 29, 2014 ",The State Department has made a determination approving a possible Foreign Military Sale to the United Arab Emirates for High Mobility…
408,Thailand , UH-72A Lakota Helicopters," Sep 29, 2014 ",The State Department has made a determination approving a possible Foreign Military Sale to Thailand for UH-72A Lakota Helicopters and…
409,UAE , Mine Resistant Ambush Protected (MRAP) Vehicles," Sep 26, 2014 ",The State Department has made a determination approving a possible Foreign Military Sale to the United Arab Emirates for Mine Resistant…
410,Canada , MK-48 Mod 7 Advanced Technology (AT) Torpedo Kits," Sep 24, 2014 ",The State Department has made a determination approving a possible Foreign Military Sale to Canada for MK-48 Mod 7 Advanced Technology (AT…
411,Pakistan , Mine Resistant Ambush Protected (MRAP) Vehicles," Sep 19, 2014 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Pakistan for 160 Mine…
412,Poland , Joint Air-to-Surface Standoff Missiles and F-16 Operational Flight Plan Upgrade," Sep 19, 2014 ",The State Department has made a determination approving a possible Foreign Military Sale to Poland for Joint Air-to-Surface Standoff…
413,Lebanon , Huey II Rotary Wing Aircraft and Support," Sep 19, 2014 ",The State Department has made a determination approving a possible Foreign Military Sale to Lebanon for Huey II rotary wing aircraft and…
414,Brazil , UH-60M Black Hawk Helicopters," Sep 9, 2014 ",The State Department has made a determination approving a possible Foreign Military Sale to Brazil for UH-60M Black Hawk helicopters and…
415,Saudi Arabia , AWACS Modernization Program," Aug 12, 2014 ","['WASHINGTON, Aug 12, 2014 – The State Department has made a determination approving a possible Foreign Military Sale to Saudi Arabia for an AWACS modernization program…']"
416,Canada , AN/AAQ-24(V) Large Aircraft Infrared Countermeasures (LAIRCM) Systems," Aug 12, 2014 ","['WASHINGTON, Aug 12, 2014 – The State Department has made a determination approving a possible Foreign Military Sale to Canada for AN/AAQ-24(V) Large Aircraft Infrared…']"
